scenario,scenario_name,metric,n,mean,sd,ci95,lower95,upper95,median,q1,q3,min,max
Q2,High-load Qtum mobile dApp,cross_shard_ratio,100,19.195156,1.69281,0.335853,18.859303,19.531009,19.20625,18.2326,20.314275,14.3229,23.3577
Q2,High-load Qtum mobile dApp,shard_load_std,100,0.154924,0.099511,0.019743,0.135181,0.174667,0.1413,0.0781,0.2182,0.0035,0.4285
Q2,High-load Qtum mobile dApp,reward_gini,100,28.918958,4.612476,0.915115,28.003843,29.834073,28.1231,26.637475,31.811,10.3488,42.2178
Q2,High-load Qtum mobile dApp,reward_hhi,100,25.593114,5.128316,1.017458,24.575656,26.610572,24.00405,22.087375,28.00645,22.0004,42.0453
Q2,High-load Qtum mobile dApp,owner_concentration,100,35.729646,7.603456,1.508526,34.22112,37.238172,32.2551,31.261975,38.895975,30.1215,60.0
Q2,High-load Qtum mobile dApp,reconfiguration_events,100,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q2,High-load Qtum mobile dApp,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q3,Cross-contract/cross-shard Qtum request,api_elapsed_ms,100,9.725191,4.171021,0.827531,8.89766,10.552722,9.00595,8.292,9.895225,7.3109,48.3825
Q3,Cross-contract/cross-shard Qtum request,real_submitted_tx_per_sec,100,29375.11591,4168.702113,827.070499,28548.045411,30202.186409,30209.48175,27297.5423,31937.744225,5415.1793,36092.1079
Q3,Cross-contract/cross-shard Qtum request,real_finality_certs_per_sec,100,28532.249938,4052.240898,803.964594,27728.285344,29336.214532,29457.57655,26582.60185,31026.948425,5249.8303,34864.5224
Q3,Cross-contract/cross-shard Qtum request,real_receipts_per_sec,100,27945.648861,3940.262403,781.748061,27163.9008,28727.396922,28756.0741,26046.120725,30410.3813,5146.4872,34113.5942
Q3,Cross-contract/cross-shard Qtum request,real_rewards_per_sec,100,83836.946602,11820.787216,2345.244184,81491.702418,86182.190786,86268.2223,78138.3622,91231.1439,15439.4616,102340.7826
Q3,Cross-contract/cross-shard Qtum request,submitted_tx,100,273.56,35.435906,7.030484,266.529516,280.590484,266.5,244.75,306.0,220.0,340.0
Q3,Cross-contract/cross-shard Qtum request,finality_certificates,100,265.71,34.450461,6.834971,258.875029,272.544971,260.0,236.0,296.25,214.0,330.0
Q3,Cross-contract/cross-shard Qtum request,receipts,100,260.28,33.666541,6.679442,253.600558,266.959442,253.0,230.75,289.25,210.0,328.0
Q3,Cross-contract/cross-shard Qtum request,finality_success_rate,100,97.133757,1.063567,0.211012,96.922745,97.344769,97.16645,96.40855,97.957025,94.2675,99.0385
Q3,Cross-contract/cross-shard Qtum request,receipt_success_rate,100,95.155109,1.185943,0.235291,94.919818,95.3904,95.22605,94.368575,95.917075,91.9355,97.7679
Q3,Cross-contract/cross-shard Qtum request,model_logical_throughput,100,2.547304,0.260938,0.05177,2.495534,2.599074,2.53,2.3075,2.82205,2.1,2.9286
Q3,Cross-contract/cross-shard Qtum request,mean_finality_latency_logical,100,19.799091,0.208569,0.04138,19.757711,19.840471,19.796,19.656375,19.90905,19.2885,20.4032
Q3,Cross-contract/cross-shard Qtum request,mean_receipt_latency_logical,100,25.300722,0.22147,0.04394,25.256782,25.344662,25.27075,25.157625,25.437,24.7422,25.9047
Q3,Cross-contract/cross-shard Qtum request,cross_shard_ratio,100,47.637816,3.156246,0.626199,47.011617,48.264015,47.6037,45.401175,49.5481,41.2245,56.5574
Q3,Cross-contract/cross-shard Qtum request,shard_load_std,100,0.176245,0.112767,0.022373,0.153872,0.198618,0.16345,0.08705,0.2474,0.0037,0.4681
Q3,Cross-contract/cross-shard Qtum request,reward_gini,100,28.939695,5.032948,0.998537,27.941158,29.938232,27.98595,25.705825,32.2506,11.1538,42.7915
Q3,Cross-contract/cross-shard Qtum request,reward_hhi,100,26.139644,5.125519,1.016903,25.122741,27.156547,24.114,22.123925,28.0639,22.0,42.073
Q3,Cross-contract/cross-shard Qtum request,owner_concentration,100,36.617498,7.635707,1.514924,35.102574,38.132422,33.5404,31.5889,40.427575,30.0,60.0
Q3,Cross-contract/cross-shard Qtum request,reconfiguration_events,100,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q3,Cross-contract/cross-shard Qtum request,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q4,Poor mobile connectivity,api_elapsed_ms,100,8.428232,3.934038,0.780513,7.647719,9.208745,8.04735,7.458275,8.6746,5.8976,46.4505
Q4,Poor mobile connectivity,real_submitted_tx_per_sec,100,30101.918583,3567.112956,707.71521,29394.203373,30809.633793,30382.00435,28369.524425,32279.4848,5360.5474,36603.712
Q4,Poor mobile connectivity,real_finality_certs_per_sec,100,26534.460964,3163.112321,627.561484,25906.89948,27162.022448,26713.6098,24943.22975,28227.96605,4779.2832,32968.4119
Q4,Poor mobile connectivity,real_receipts_per_sec,100,24365.207151,2934.523792,582.20952,23782.997631,24947.416671,24510.2971,22951.98775,26288.740175,4370.2455,28831.691
Q4,Poor mobile connectivity,real_rewards_per_sec,100,73095.62145,8803.571382,1746.628562,71348.992888,74842.250012,73530.8913,68855.963275,78866.2205,13110.7364,86495.073
Q4,Poor mobile connectivity,submitted_tx,100,243.78,29.496988,5.852202,237.927798,249.632202,248.5,218.75,264.0,181.0,299.0
Q4,Poor mobile connectivity,finality_certificates,100,215.07,27.36925,5.430059,209.639941,220.500059,216.5,193.75,234.25,154.0,267.0
Q4,Poor mobile connectivity,receipts,100,197.51,25.548328,5.068788,192.441212,202.578788,198.5,179.25,217.25,137.0,247.0
Q4,Poor mobile connectivity,finality_success_rate,100,88.178584,2.208443,0.438155,87.740429,88.616739,88.47455,86.91765,89.7284,82.243,92.4779
Q4,Poor mobile connectivity,receipt_success_rate,100,80.976011,2.795004,0.554529,80.421482,81.53054,81.0606,79.075825,82.818275,73.2323,87.3096
Q4,Poor mobile connectivity,model_logical_throughput,100,1.58008,0.204387,0.04055,1.53953,1.62063,1.588,1.434,1.738,1.096,1.976
Q4,Poor mobile connectivity,mean_finality_latency_logical,100,21.381878,0.163291,0.032397,21.349481,21.414275,21.3872,21.261775,21.4705,20.9071,21.7918
Q4,Poor mobile connectivity,mean_receipt_latency_logical,100,26.888466,0.188262,0.037351,26.851115,26.925817,26.8825,26.747975,26.993325,26.4096,27.372
Q4,Poor mobile connectivity,cross_shard_ratio,100,15.203412,2.33504,0.463272,14.74014,15.666684,15.0824,13.421925,16.486025,9.7959,21.5909
Q4,Poor mobile connectivity,shard_load_std,100,0.144885,0.097779,0.019399,0.125486,0.164284,0.125,0.06535,0.219525,0.0005,0.4596
Q4,Poor mobile connectivity,reward_gini,100,29.671534,6.225021,1.235044,28.43649,30.906578,29.2735,25.8242,32.4673,11.7073,42.9876
Q4,Poor mobile connectivity,reward_hhi,100,28.312793,6.331801,1.256229,27.056564,29.569022,27.0494,23.511575,30.16135,22.0005,44.0
Q4,Poor mobile connectivity,owner_concentration,100,39.759294,9.024875,1.790535,37.968759,41.549829,38.09805,33.40175,41.12585,30.1322,60.0
Q4,Poor mobile connectivity,reconfiguration_events,100,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q4,Poor mobile connectivity,quarantine_events,100,1.96,1.162721,0.230684,1.729316,2.190684,2.0,1.0,3.0,0.0,5.0
Q5,Stake-skewed validator set,api_elapsed_ms,100,9.834887,1.141061,0.226387,9.6085,10.061274,9.7002,8.996875,10.429875,8.1833,14.2654
Q5,Stake-skewed validator set,real_submitted_tx_per_sec,100,32341.994901,2851.997181,565.836241,31776.15866,32907.831142,32492.35805,31500.74585,33922.304975,19774.6278,38093.6435
Q5,Stake-skewed validator set,real_finality_certs_per_sec,100,31838.948056,2808.057708,557.118649,31281.829407,32396.066705,32133.2835,31016.91915,33504.8624,19703.2392,37097.0075
Q5,Stake-skewed validator set,real_receipts_per_sec,100,31207.601368,2727.745949,541.184796,30666.416572,31748.786164,31518.8898,30338.839775,32822.1129,19346.2965,36654.0581
Q5,Stake-skewed validator set,real_rewards_per_sec,100,93622.804094,8183.237845,1623.554388,91999.249706,95246.358482,94556.66945,91016.51925,98466.33865,58038.8895,109962.1743
Q5,Stake-skewed validator set,submitted_tx,100,316.58,34.124898,6.77038,309.80962,323.35038,315.5,287.75,347.25,262.0,378.0
Q5,Stake-skewed validator set,finality_certificates,100,311.68,33.784785,6.702901,304.977099,318.382901,312.0,281.0,343.25,256.0,375.0
Q5,Stake-skewed validator set,receipts,100,305.55,33.357075,6.618044,298.931956,312.168044,306.0,276.25,336.25,249.0,367.0
Q5,Stake-skewed validator set,finality_success_rate,100,98.44823,0.670148,0.132957,98.315273,98.581187,98.5052,97.90175,98.897025,96.1039,99.7191
Q5,Stake-skewed validator set,receipt_success_rate,100,96.506156,0.901403,0.178838,96.327318,96.684994,96.57375,96.093075,97.097025,94.1558,98.4375
Q5,Stake-skewed validator set,model_logical_throughput,100,2.821519,0.120444,0.023896,2.797623,2.845415,2.8782,2.7625,2.907075,2.49,2.9531
Q5,Stake-skewed validator set,mean_finality_latency_logical,100,17.94619,0.137325,0.027245,17.918945,17.973435,17.9417,17.855825,18.0215,17.6412,18.342
Q5,Stake-skewed validator set,mean_receipt_latency_logical,100,23.444264,0.148525,0.029467,23.414797,23.473731,23.42325,23.33885,23.53755,23.1264,23.8404
Q5,Stake-skewed validator set,cross_shard_ratio,100,16.263562,1.922546,0.381433,15.882129,16.644995,16.28865,15.009225,17.51775,12.1622,21.8978
Q5,Stake-skewed validator set,shard_load_std,100,0.137592,0.097692,0.019382,0.11821,0.156974,0.11965,0.053775,0.19545,0.0019,0.4688
Q5,Stake-skewed validator set,reward_gini,100,28.87334,5.156928,1.023135,27.850205,29.896475,28.34005,26.498025,32.17435,10.1852,40.8958
Q5,Stake-skewed validator set,reward_hhi,100,25.890974,5.291969,1.049927,24.841047,26.940901,24.0376,22.2793,28.020675,22.0002,44.0
Q5,Stake-skewed validator set,owner_concentration,100,36.60103,7.832212,1.553911,35.047119,38.154941,33.832,31.348775,39.311725,30.087,60.0
Q5,Stake-skewed validator set,reconfiguration_events,100,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q5,Stake-skewed validator set,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,Risky/offline validator case,api_elapsed_ms,100,9.377201,3.821416,0.758169,8.619032,10.13537,8.85465,8.221975,9.37685,6.7864,45.0469
Q6,Risky/offline validator case,real_submitted_tx_per_sec,100,31043.713592,4087.287577,810.917855,30232.795737,31854.631447,31789.8341,30086.224075,33609.2407,6637.5292,36562.4524
Q6,Risky/offline validator case,real_finality_certs_per_sec,100,30510.246368,4004.837204,794.559701,29715.686667,31304.806069,31146.1252,29510.035675,32942.6186,6526.5337,36223.9112
Q6,Risky/offline validator case,real_receipts_per_sec,100,29894.385763,3963.305121,786.319736,29108.066027,30680.705499,30518.99415,28860.696525,32187.140575,6415.5382,35885.3699
Q6,Risky/offline validator case,real_rewards_per_sec,100,89683.157292,11889.915366,2358.959209,87324.198083,92042.116501,91556.9824,86582.089625,96561.4218,19246.6147,107656.1098
Q6,Risky/offline validator case,submitted_tx,100,279.83,30.916654,6.133864,273.696136,285.963864,282.0,254.5,306.0,220.0,330.0
Q6,Risky/offline validator case,finality_certificates,100,275.05,30.383866,6.028159,269.021841,281.078159,278.5,248.5,299.5,214.0,324.0
Q6,Risky/offline validator case,receipts,100,269.48,30.061042,5.964111,263.515889,275.444111,274.0,245.0,294.0,211.0,318.0
Q6,Risky/offline validator case,finality_success_rate,100,98.293282,0.745026,0.147813,98.145469,98.441095,98.34085,97.8644,98.914975,96.31,99.6644
Q6,Risky/offline validator case,receipt_success_rate,100,96.295254,1.112628,0.220745,96.074509,96.515999,96.4611,95.6793,96.850225,92.827,99.0385
Q6,Risky/offline validator case,model_logical_throughput,100,2.653308,0.254151,0.050424,2.602884,2.703732,2.74,2.45,2.8732,2.11,2.9712
Q6,Risky/offline validator case,mean_finality_latency_logical,100,18.125799,0.152565,0.030269,18.09553,18.156068,18.13535,18.005025,18.220325,17.7093,18.4873
Q6,Risky/offline validator case,mean_receipt_latency_logical,100,23.631958,0.164818,0.0327,23.599258,23.664658,23.6278,23.518025,23.7396,23.2962,24.0718
Q6,Risky/offline validator case,cross_shard_ratio,100,19.307752,2.223543,0.441151,18.866601,19.748903,19.23685,17.845025,20.54895,13.0435,26.045
Q6,Risky/offline validator case,shard_load_std,100,0.130088,0.098741,0.01959,0.110498,0.149678,0.1167,0.04765,0.1843,0.0007,0.4696
Q6,Risky/offline validator case,reward_gini,100,29.052607,5.796387,1.150003,27.902604,30.20261,28.6708,25.280675,32.3872,10.4455,43.1362
Q6,Risky/offline validator case,reward_hhi,100,27.567015,5.513141,1.093807,26.473208,28.660822,26.0406,24.011375,30.0535,22.0025,42.0251
Q6,Risky/offline validator case,owner_concentration,100,38.235117,7.915297,1.570395,36.664722,39.805512,36.2698,32.4324,41.003025,30.1935,60.0
Q6,Risky/offline validator case,reconfiguration_events,100,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q6,Risky/offline validator case,quarantine_events,100,3.33,1.670027,0.331333,2.998667,3.661333,3.0,2.0,4.0,0.0,8.0
Q7,Hot-shard Qtum workload,api_elapsed_ms,100,12.076321,4.259983,0.845181,11.23114,12.921502,11.43495,10.455675,12.68885,8.5152,51.0892
Q7,Hot-shard Qtum workload,real_submitted_tx_per_sec,100,32379.043847,3880.533765,769.897899,31609.145948,33148.941746,32782.1955,30314.099825,34974.51405,7927.313,38294.523
Q7,Hot-shard Qtum workload,real_finality_certs_per_sec,100,31773.723026,3832.495055,760.367019,31013.356007,32534.090045,32304.7612,29652.891425,34323.038175,7849.0185,37730.1436
Q7,Hot-shard Qtum workload,real_receipts_per_sec,100,29906.569256,3643.550214,722.880362,29183.688894,30629.449618,30456.88115,27768.830225,31947.856175,7457.5463,35523.2172
Q7,Hot-shard Qtum workload,real_rewards_per_sec,100,89719.707769,10930.650632,2168.641085,87551.066684,91888.348854,91370.64355,83306.490775,95843.568475,22372.6389,106569.6515
Q7,Hot-shard Qtum workload,submitted_tx,100,379.28,47.940426,9.511381,369.768619,388.791381,380.5,338.0,426.5,305.0,459.0
Q7,Hot-shard Qtum workload,finality_certificates,100,372.22,47.462602,9.41658,362.80342,381.63658,372.5,332.5,417.0,293.0,454.0
Q7,Hot-shard Qtum workload,receipts,100,350.38,45.302525,8.988021,341.391979,359.368021,349.5,307.0,394.5,276.0,429.0
Q7,Hot-shard Qtum workload,finality_success_rate,100,98.127923,0.673787,0.133679,97.994244,98.261602,98.1417,97.743775,98.640975,96.0656,99.696
Q7,Hot-shard Qtum workload,receipt_success_rate,100,92.361201,1.499351,0.297471,92.06373,92.658672,92.477,91.6749,93.196075,86.9688,94.9495
Q7,Hot-shard Qtum workload,model_logical_throughput,100,2.770835,0.044978,0.008924,2.761911,2.779759,2.7743,2.7502,2.79585,2.6091,2.8485
Q7,Hot-shard Qtum workload,mean_finality_latency_logical,100,18.330611,0.155572,0.030866,18.299745,18.361477,18.33025,18.2118,18.44335,17.9727,18.668
Q7,Hot-shard Qtum workload,mean_receipt_latency_logical,100,23.825133,0.168353,0.033401,23.791732,23.858534,23.82845,23.704575,23.935075,23.3889,24.2099
Q7,Hot-shard Qtum workload,cross_shard_ratio,100,22.995349,2.452874,0.48665,22.508699,23.481999,22.7069,21.363075,24.360225,17.6301,29.235
Q7,Hot-shard Qtum workload,shard_load_std,100,0.147681,0.091683,0.01819,0.129491,0.165871,0.1322,0.078375,0.211575,0.0007,0.3947
Q7,Hot-shard Qtum workload,reward_gini,100,30.096189,4.580866,0.908844,29.187345,31.005033,30.03455,27.4798,32.1881,10.2261,43.5719
Q7,Hot-shard Qtum workload,reward_hhi,100,25.918117,5.064209,1.004739,24.913378,26.922856,24.02205,22.46565,28.148025,22.0,42.006
Q7,Hot-shard Qtum workload,owner_concentration,100,37.407267,7.271245,1.442615,35.964652,38.849882,35.3421,33.094325,38.92245,30.0,60.0
Q7,Hot-shard Qtum workload,reconfiguration_events,100,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Q7,Hot-shard Qtum workload,quarantine_events,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
