sequence_id,scenario,scenario_name,run_id,seed,api_elapsed_seconds,api_elapsed_ms,submitted_tx,routed_tx,finality_certificates,receipts,reward_events,total_reward,quarantine_events,reconfiguration_events,evidence_events,active_validators,quarantined_validators,finality_success_rate,receipt_success_rate,model_logical_throughput,mean_finality_latency_logical,mean_receipt_latency_logical,cross_shard_ratio,shard1_load,shard2_load,shard_load_std,reward_gini,reward_hhi,owner_concentration,nakamoto_coefficient,malicious_committee_probability,real_submitted_tx_per_sec,real_finality_certs_per_sec,real_receipts_per_sec,real_rewards_per_sec
656,Q7,Hot-shard Qtum workload,56,682,0.01326818,13.2682,453,453,445,422,1266,6330,0,2,1351,16,0,98.234,93.1567,2.7947,18.3851,23.8516,25.1656,180.6657,180.3869,0.1394,29.3207,22.2846,33.4123,1,0.0,34141.8341,33538.8878,31805.4172,95416.2515
657,Q7,Hot-shard Qtum workload,57,683,0.01168388,11.6839,433,433,425,400,1200,6000,0,2,1291,16,0,98.1524,92.3788,2.7714,18.4671,23.9764,24.7113,173.5477,172.9884,0.2796,32.2667,23.2672,37.2,1,0.0,37059.5974,36374.8935,34235.1939,102705.5817
658,Q7,Hot-shard Qtum workload,58,684,0.00969467,9.6947,314,314,311,296,888,4440,0,2,939,16,0,99.0446,94.2675,2.828,18.1694,23.6346,21.0191,134.8061,134.3537,0.2262,31.0811,22.7874,35.6757,1,0.0,32388.9346,32079.4862,30532.2441,91596.7322
659,Q7,Hot-shard Qtum workload,59,685,0.01018422,10.1842,390,390,381,350,1050,5250,0,2,1161,16,0,97.6923,89.7436,2.6923,18.52,24.0163,25.8974,154.6739,154.4657,0.1041,30.0857,34.0003,40.1143,1,0.0,38294.523,37410.8032,34366.8796,103100.6388
660,Q7,Hot-shard Qtum workload,60,686,0.00923743,9.2374,325,325,319,290,870,4350,0,2,969,16,0,98.1538,89.2308,2.6769,18.3125,23.7792,22.1538,131.6495,131.6654,0.008,32.1379,23.2096,37.0345,1,0.0,35182.9307,34533.3996,31393.9997,94181.999
661,Q7,Hot-shard Qtum workload,61,687,0.00851522,8.5152,305,305,293,280,840,4200,0,2,903,16,0,96.0656,91.8033,2.7541,18.4705,24.0232,27.541,140.531,139.7415,0.3947,30.8333,22.7015,35.3571,1,0.0,35818.2004,34408.9598,32882.2824,98646.8471
662,Q7,Hot-shard Qtum workload,62,688,0.01252041,12.5204,445,445,440,422,1266,6330,0,2,1330,16,0,98.8764,94.8315,2.8449,18.3064,23.7489,22.0225,160.0111,159.9628,0.0241,28.2148,22.0969,31.9905,2,0.0,35541.9728,35142.6247,33704.9719,101114.9157
663,Q7,Hot-shard Qtum workload,63,689,0.01208864,12.0886,409,409,401,387,1161,5805,0,2,1219,16,0,98.044,94.621,2.8386,18.4337,23.908,23.7164,156.51,157.0912,0.2906,25.6951,24.2245,33.1783,2,0.0,33833.4172,33171.6388,32013.5267,96040.5802
664,Q7,Hot-shard Qtum workload,64,690,0.01044632,10.4463,306,306,299,282,846,4230,0,2,911,16,0,97.7124,92.1569,2.7647,18.4465,23.9015,24.183,141.4456,141.8238,0.1891,25.5887,24.1972,32.9787,2,0.0,29292.5981,28622.506,26995.1394,80985.4183
665,Q7,Hot-shard Qtum workload,65,691,0.01268449,12.6845,325,325,315,292,876,4380,0,2,965,16,0,96.9231,89.8462,2.6954,18.1988,23.7222,20.6154,136.517,136.6813,0.0821,31.621,22.9918,36.3699,1,0.0,25621.834,24833.4699,23020.2324,69060.6973
666,Q7,Hot-shard Qtum workload,66,692,0.01090171,10.9017,349,349,345,329,987,4935,0,2,1043,16,0,98.8539,94.2693,2.8281,18.3951,23.9188,24.3553,162.0679,162.1248,0.0284,29.8582,22.4116,34.1033,1,0.0,32013.3205,31646.4056,30178.7462,90536.2387
667,Q7,Hot-shard Qtum workload,67,693,0.00938402,9.384,320,320,316,299,897,4485,0,2,956,16,0,98.75,93.4375,2.8031,18.1034,23.5932,19.0625,132.8234,133.0183,0.0975,34.7659,35.0095,46.3545,1,0.0,34100.535,33674.2783,31862.6874,95588.0621
668,Q7,Hot-shard Qtum workload,68,694,0.00925533,9.2553,310,310,303,285,855,4275,0,2,923,16,0,97.7419,91.9355,2.7581,18.153,23.56,19.3548,146.1166,145.824,0.1463,30.6784,22.6503,35.1579,1,0.0,33494.2281,32737.9068,30793.0807,92379.242
669,Q7,Hot-shard Qtum workload,69,695,0.01078683,10.7868,378,378,372,353,1059,5295,0,2,1128,16,0,98.4127,93.3862,2.8016,18.562,24.0627,27.2487,158.61,158.2331,0.1884,24.4079,24.013,30.7649,2,0.0,35042.7197,34486.486,32725.0795,98175.2384
670,Q7,Hot-shard Qtum workload,70,696,0.01097353,10.9735,378,378,369,349,1047,5235,0,2,1125,16,0,97.619,92.328,2.7698,18.5071,23.9941,25.1323,154.3703,154.9397,0.2847,25.8797,24.276,33.5244,1,0.0,34446.5398,33626.3841,31803.8158,95411.4475
671,Q7,Hot-shard Qtum workload,71,697,0.01267144,12.6714,443,443,436,410,1230,6150,0,2,1322,16,0,98.4199,92.5508,2.7765,18.4597,23.8294,25.9594,173.0886,172.8779,0.1054,27.6683,25.0513,36.878,1,0.0,34960.5207,34408.0971,32356.2381,97068.7142
672,Q7,Hot-shard Qtum workload,72,698,0.0097191,9.7191,330,330,327,307,921,4605,0,2,987,16,0,99.0909,93.0303,2.7909,18.2819,23.7281,22.1212,134.4709,133.9072,0.2819,30.5429,22.6071,34.9837,1,0.0,33953.7646,33645.0941,31587.2901,94761.8704
673,Q7,Hot-shard Qtum workload,73,699,0.01055587,10.5559,388,388,381,359,1077,5385,0,2,1157,16,0,98.1959,92.5258,2.7758,18.1314,23.651,20.6186,161.2802,161.5548,0.1373,32.6908,28.1193,41.727,1,0.0,36756.7963,36093.6582,34009.51,102028.5299
674,Q7,Hot-shard Qtum workload,74,700,0.00992309,9.9231,305,305,300,276,828,4140,0,2,910,16,0,98.3607,90.4918,2.7148,18.5032,24.0306,26.5574,147.403,147.2414,0.0808,25.0,30.6183,44.2029,1,0.0,30736.3998,30232.5244,27813.9224,83441.7673
675,Q7,Hot-shard Qtum workload,75,701,0.01283531,12.8353,429,429,423,401,1203,6015,0,2,1281,16,0,98.6014,93.4732,2.8042,18.2115,23.7018,22.1445,182.007,181.4878,0.2596,25.0,30.161,42.1446,1,0.0,33423.4129,32955.9526,31241.9314,93725.7943
676,Q7,Hot-shard Qtum workload,76,702,0.01258937,12.5894,457,457,451,424,1272,6360,0,2,1365,16,0,98.6871,92.779,2.7834,18.2494,23.782,22.1007,167.235,167.0224,0.1063,29.5283,22.3309,33.6792,1,0.0,36300.4518,35823.8594,33679.1938,101037.5813
677,Q7,Hot-shard Qtum workload,77,703,0.01096006,10.9601,395,395,387,368,1104,5520,0,2,1177,16,0,97.9747,93.1646,2.7949,18.038,23.5515,19.2405,145.7949,146.1965,0.2008,25.3913,24.1512,32.6087,2,0.0,36039.9553,35310.0321,33576.4646,100729.3939
678,Q7,Hot-shard Qtum workload,78,704,0.00962071,9.6207,329,329,328,303,909,4545,0,2,986,16,0,99.696,92.0973,2.7629,18.0184,23.7346,17.9331,135.6399,135.8728,0.1165,26.4818,24.4812,34.6535,1,0.0,34197.0781,34093.1356,31494.5734,94483.7203
679,Q7,Hot-shard Qtum workload,79,705,0.00936446,9.3645,305,305,302,289,867,4335,0,2,912,16,0,99.0164,94.7541,2.8426,18.388,23.7861,23.9344,141.6507,141.395,0.1279,30.7843,22.6851,35.2941,1,0.0,32569.9576,32249.5974,30861.3697,92584.109
680,Q7,Hot-shard Qtum workload,80,706,0.01224252,12.2425,457,457,448,419,1257,6285,0,2,1362,16,0,98.0306,91.6849,2.7505,18.1242,23.6001,19.0372,179.505,180.0651,0.28,24.6492,24.0329,31.2172,2,0.0,37328.9281,36593.7851,34224.991,102674.973
681,Q7,Hot-shard Qtum workload,81,707,0.01051673,10.5167,351,351,341,322,966,4830,0,2,1043,16,0,97.151,91.7379,2.7521,18.1573,23.7046,20.5128,149.1063,149.6195,0.2566,26.8116,22.0008,30.1863,2,0.0,33375.406,32424.5397,30617.8938,91853.6815
682,Q7,Hot-shard Qtum workload,82,708,0.01147355,11.4736,428,428,417,394,1182,5910,0,2,1273,16,0,97.4299,92.0561,2.7617,18.1156,23.6175,21.9626,172.9444,172.8724,0.036,33.6853,28.6596,36.0914,1,0.0,37303.1756,36344.4492,34339.8393,103019.5178
683,Q7,Hot-shard Qtum workload,83,709,0.01113931,11.1393,396,396,391,376,1128,5640,0,2,1183,16,0,98.7374,94.9495,2.8485,18.2491,23.7745,22.2222,160.9485,160.8017,0.0734,30.3901,22.5602,34.7872,1,0.0,35549.775,35100.9142,33754.3318,101262.9955
684,Q7,Hot-shard Qtum workload,84,710,0.01148268,11.4827,388,388,383,361,1083,5415,0,2,1159,16,0,98.7113,93.0412,2.7912,18.0854,23.527,18.8144,155.7112,155.5904,0.0604,27.0582,24.7307,35.7341,1,0.0,33790.0359,33354.5973,31438.6674,94316.0022
685,Q7,Hot-shard Qtum workload,85,711,0.01105602,11.056,401,401,394,370,1110,5550,0,2,1196,16,0,98.2544,92.2693,2.7681,18.3778,23.8924,22.9426,152.4707,152.472,0.0007,27.6757,22.0411,31.2973,2,0.0,36269.8265,35636.6874,33465.9247,100397.7742
686,Q7,Hot-shard Qtum workload,86,712,0.00992685,9.9269,350,350,344,326,978,4890,0,2,1044,16,0,98.2857,93.1429,2.7943,18.3244,23.8257,22.8571,145.4634,145.1227,0.1703,29.3006,26.195,39.9387,1,0.0,35257.9081,34653.4868,32840.2229,98520.6688
687,Q7,Hot-shard Qtum workload,87,713,0.01053307,10.5331,353,353,343,307,921,4605,0,2,1049,16,0,97.1671,86.9688,2.6091,18.5881,24.121,25.4958,147.4532,147.2783,0.0874,27.0467,22.0058,30.4886,2,0.0,33513.4929,32564.1021,29146.2955,87438.8865
688,Q7,Hot-shard Qtum workload,88,714,0.0103216,10.3216,367,367,360,342,1026,5130,0,2,1094,16,0,98.0926,93.188,2.7956,18.6526,24.1566,26.9755,143.0573,142.9828,0.0372,25.9649,24.3016,33.6842,1,0.0,35556.4891,34878.2999,33134.3849,99403.1548
689,Q7,Hot-shard Qtum workload,89,715,0.0119368,11.9368,446,446,440,401,1203,6015,0,2,1332,16,0,98.6547,89.9103,2.6973,18.351,23.8275,21.9731,157.8403,157.4275,0.2064,29.9834,22.4445,34.2643,1,0.0,37363.4538,36860.8064,33593.5986,100780.7957
690,Q7,Hot-shard Qtum workload,90,716,0.01284147,12.8415,431,431,423,407,1221,6105,0,2,1285,16,0,98.1439,94.4316,2.8329,18.2852,23.8163,22.2738,169.6129,169.2188,0.197,29.5905,22.3454,33.7592,1,0.0,33563.1252,32940.1438,31694.1809,95082.5427
691,Q7,Hot-shard Qtum workload,91,717,0.01060624,10.6062,354,354,350,330,990,4950,0,2,1058,16,0,98.8701,93.2203,2.7966,18.1782,23.5744,21.1864,148.0714,147.9509,0.0603,27.6848,25.0608,36.9091,1,0.0,33376.5846,32999.4481,31113.7653,93341.2959
692,Q7,Hot-shard Qtum workload,92,718,0.01139623,11.3962,383,383,375,354,1062,5310,0,2,1141,16,0,97.9112,92.4282,2.7728,18.433,23.8869,23.7598,162.633,162.0851,0.2739,30.8851,22.7191,35.4237,1,0.0,33607.6142,32905.6274,31062.9123,93188.7369
693,Q7,Hot-shard Qtum workload,93,719,0.01045876,10.4588,339,339,337,312,936,4680,0,2,1015,16,0,99.41,92.0354,2.7611,18.4671,23.9489,23.5988,151.8846,152.099,0.1072,28.7607,22.1772,32.6923,2,0.0,32413.0265,32221.7992,29831.458,89494.374
694,Q7,Hot-shard Qtum workload,94,720,0.00936694,9.3669,314,314,306,292,876,4380,0,2,934,16,0,97.4522,92.9936,2.7898,18.3184,23.7411,21.9745,130.0435,129.7818,0.1308,25.0959,24.0938,32.0548,2,0.0,33522.1678,32668.0998,31173.4808,93520.4425
695,Q7,Hot-shard Qtum workload,95,721,0.01215464,12.1546,366,366,359,346,1038,5190,0,2,1091,16,0,98.0874,94.5355,2.8361,18.5856,24.0781,29.235,152.1586,152.2632,0.0523,29.0944,22.2382,33.1214,2,0.0,30111.9548,29536.0431,28466.4928,85399.4783
696,Q7,Hot-shard Qtum workload,96,722,0.00988867,9.8887,313,313,310,296,888,4440,0,2,936,16,0,99.0415,94.5687,2.8371,18.4168,23.8961,24.2812,147.3773,147.6893,0.156,33.4054,28.4938,36.4865,1,0.0,31652.386,31349.0085,29933.2468,89799.7405
697,Q7,Hot-shard Qtum workload,97,723,0.01020566,10.2057,362,362,350,337,1011,5055,0,2,1074,16,0,96.6851,93.0939,2.7928,18.2209,23.807,23.7569,145.1543,144.5329,0.3107,32.2136,28.0114,39.4659,1,0.0,35470.503,34294.6852,33020.8826,99062.6479
698,Q7,Hot-shard Qtum workload,98,724,0.01115559,11.1556,425,425,417,396,1188,5940,0,2,1267,16,0,98.1176,93.1765,2.7953,18.2593,23.7504,22.3529,182.2074,181.9512,0.1281,29.2593,22.2716,33.3333,1,0.0,38097.509,37380.3794,35497.9143,106493.7428
699,Q7,Hot-shard Qtum workload,99,725,0.01417119,14.1712,431,431,424,398,1194,5970,0,2,1286,16,0,98.3759,92.3434,2.7703,18.3235,23.8022,23.2019,167.4335,167.8003,0.1834,10.2261,26.0041,30.4523,2,0.0,30413.812,29919.8522,28085.1443,84255.4328
700,Q7,Hot-shard Qtum workload,100,726,0.01310802,13.108,391,391,384,360,1080,5400,0,2,1166,16,0,98.2097,92.0716,2.7621,18.3261,23.8654,22.5064,152.906,153.3734,0.2337,27.5741,22.0333,31.1667,2,0.0,29829.0733,29295.049,27464.1084,82392.3252
